localminute,dataid,meter_value
2015-10-01 00:00:10-05,739,88858
2015-10-01 00:00:13-05,8890,197164
2015-10-01 00:00:20-05,6910,179118
2015-10-01 00:00:22-05,3635,151318
2015-10-01 00:00:22-05,1507,390354
2015-10-01 00:00:29-05,5810,97506
2015-10-01 00:01:00-05,484,99298
2015-10-01 00:01:18-05,6910,179118
2015-10-01 00:01:34-05,6910,179118
2015-10-01 00:01:38-05,5810,97506
2015-10-01 00:01:43-05,4352,218216
2015-10-01 00:01:46-05,484,99298
2015-10-01 00:01:56-05,1718,161076
2015-10-01 00:01:58-05,1714,147048
2015-10-01 00:02:15-05,9849,33632
2015-10-01 00:02:16-05,5131,104132
2015-10-01 00:02:18-05,6412,133016
2015-10-01 00:02:20-05,7429,132644
2015-10-01 00:02:21-05,1507,390354
2015-10-01 00:02:22-05,871,106464
2015-10-01 00:02:28-05,1086,83334
2015-10-01 00:02:29-05,1589,193922
2015-10-01 00:02:37-05,8156,251818
2015-10-01 00:02:41-05,9631,108348
2015-10-01 00:02:55-05,5403,112902
2015-10-01 00:02:57-05,4447,88648
2015-10-01 00:03:02-05,2034,72376
2015-10-01 00:03:40-05,5275,156990
2015-10-01 00:03:56-05,1718,161076
2015-10-01 00:04:11-05,7794,433360
2015-10-01 00:04:18-05,2034,72376
2015-10-01 00:04:36-05,7287,221038
2015-10-01 00:04:54-05,871,106464
2015-10-01 00:05:16-05,484,99298
2015-10-01 00:05:18-05,2034,72376
2015-10-01 00:05:42-05,6910,179118
2015-10-01 00:06:32-05,4296,168928
2015-10-01 00:06:36-05,9639,211656
2015-10-01 00:07:11-05,7794,433360
2015-10-01 00:07:13-05,739,88858
2015-10-01 00:07:26-05,7017,375932
2015-10-01 00:07:30-05,484,99298
2015-10-01 00:07:37-05,5810,97506
2015-10-01 00:07:38-05,252,329214
2015-10-01 00:07:38-05,8156,251818
2015-10-01 00:07:49-05,6412,133016
2015-10-01 00:07:51-05,9639,211656
2015-10-01 00:07:57-05,484,99298
2015-10-01 00:08:04-05,8829,155850
2015-10-01 00:08:13-05,94,116642
2015-10-01 00:08:13-05,1086,83334
2015-10-01 00:08:15-05,871,106464
2015-10-01 00:08:20-05,7287,221038
2015-10-01 00:08:42-05,6910,179118
2015-10-01 00:09:17-05,871,106464
2015-10-01 00:09:17-05,5131,104132
2015-10-01 00:09:18-05,9849,33632
2015-10-01 00:09:43-05,4352,218216
2015-10-01 00:09:44-05,1086,83334
2015-10-01 00:09:47-05,2034,72376
2015-10-01 00:09:50-05,3039,133640
2015-10-01 00:09:58-05,5403,112902
2015-10-01 00:09:59-05,9121,193610
2015-10-01 00:10:20-05,7741,271144
2015-10-01 00:10:28-05,739,88858
2015-10-01 00:10:33-05,7919,289208
2015-10-01 00:10:52-05,3039,133640
2015-10-01 00:10:58-05,1086,83334
2015-10-01 00:11:04-05,6412,133016
2015-10-01 00:11:36-05,9639,211656
2015-10-01 00:11:45-05,7674,265070
2015-10-01 00:11:46-05,7030,141672
2015-10-01 00:12:05-05,4732,183834
2015-10-01 00:12:12-05,7794,433360
2015-10-01 00:12:23-05,3635,151318
2015-10-01 00:12:44-05,370,87880
2015-10-01 00:12:48-05,2034,72376
2015-10-01 00:12:51-05,739,88858
2015-10-01 00:13:16-05,5131,104132
2015-10-01 00:14:14-05,9295,157556
2015-10-01 00:14:20-05,3577,172074
2015-10-01 00:14:26-05,222,612262
2015-10-01 00:14:28-05,2449,171120
2015-10-01 00:14:44-05,35,93470
2015-10-01 00:14:45-05,1697,266172
2015-10-01 00:15:06-05,9134,230534
2015-10-01 00:15:07-05,4767,123020
2015-10-01 00:15:12-05,5785,164280
2015-10-01 00:15:15-05,7739,149758
2015-10-01 00:15:16-05,5131,104132
2015-10-01 00:15:17-05,7117,211820
2015-10-01 00:16:02-05,5193,149804
2015-10-01 00:16:04-05,6412,133016
2015-10-01 00:16:05-05,739,88858
2015-10-01 00:16:18-05,3367,311094
2015-10-01 00:16:59-05,1589,193922
2015-10-01 00:17:06-05,1507,390354
2015-10-01 00:17:07-05,739,88858
2015-10-01 00:17:11-05,8467,86998
2015-10-01 00:17:18-05,7117,211820
2015-10-01 00:17:30-05,5972,279326
2015-10-01 00:17:32-05,2034,72376
2015-10-01 00:17:38-05,5439,181038
2015-10-01 00:17:41-05,222,612262
2015-10-01 00:17:43-05,114,128294
2015-10-01 00:17:45-05,7674,265070
2015-10-01 00:18:11-05,7017,375932
2015-10-01 00:18:38-05,5439,181038
2015-10-01 00:18:48-05,8890,197164
2015-10-01 00:18:51-05,9474,206436
2015-10-01 00:19:06-05,5193,149804
2015-10-01 00:19:09-05,4767,123020
2015-10-01 00:19:12-05,2335,202076
2015-10-01 00:19:20-05,94,116642
2015-10-01 00:19:20-05,7741,271144
2015-10-01 00:19:25-05,7460,279254
2015-10-01 00:19:32-05,2034,72376
2015-10-01 00:19:37-05,252,329214
2015-10-01 00:19:38-05,5439,181038
2015-10-01 00:19:49-05,6910,179118
2015-10-01 00:19:59-05,5403,112904
2015-10-01 00:20:21-05,7287,221038
2015-10-01 00:20:28-05,1086,83334
2015-10-01 00:20:31-05,4998,162992
2015-10-01 00:20:54-05,1718,161076
2015-10-01 00:21:05-05,9134,230534
2015-10-01 00:21:11-05,7794,433360
2015-10-01 00:21:11-05,7017,375932
2015-10-01 00:21:12-05,871,106464
2015-10-01 00:21:35-05,7287,221038
2015-10-01 00:21:50-05,6910,179118
2015-10-01 00:21:56-05,9278,115618
2015-10-01 00:22:07-05,1507,390354
2015-10-01 00:22:09-05,5129,153656
2015-10-01 00:22:11-05,2335,202076
2015-10-01 00:23:03-05,9134,230534
2015-10-01 00:23:09-05,2018,204482
2015-10-01 00:23:11-05,5785,164280
2015-10-01 00:23:24-05,5131,104132
2015-10-01 00:23:30-05,7674,265070
2015-10-01 00:23:37-05,9052,297558
2015-10-01 00:23:43-05,4352,218216
2015-10-01 00:23:44-05,1589,193922
2015-10-01 00:23:55-05,3039,133640
2015-10-01 00:24:03-05,5810,97506
2015-10-01 00:24:09-05,484,99298
2015-10-01 00:24:24-05,871,106464
2015-10-01 00:24:37-05,9639,211656
2015-10-01 00:24:53-05,94,116642
2015-10-01 00:25:06-05,7287,221038
2015-10-01 00:25:13-05,4352,218216
2015-10-01 00:25:29-05,4998,162992
2015-10-01 00:25:56-05,1718,161076
2015-10-01 00:26:25-05,7460,279256
2015-10-01 00:27:10-05,6910,179118
2015-10-01 00:27:18-05,6412,133016
2015-10-01 00:27:29-05,7674,265070
2015-10-01 00:27:33-05,7919,289210
2015-10-01 00:27:43-05,871,106464
2015-10-01 00:27:56-05,9956,95860
2015-10-01 00:27:58-05,1589,193922
2015-10-01 00:28:10-05,3577,172076
2015-10-01 00:28:10-05,6910,179118
2015-10-01 00:28:13-05,1086,83334
2015-10-01 00:28:33-05,4998,162992
2015-10-01 00:28:38-05,252,329214
2015-10-01 00:28:43-05,8155,243608
2015-10-01 00:29:00-05,484,99298
2015-10-01 00:29:02-05,4767,123020
2015-10-01 00:29:08-05,483,360456
2015-10-01 00:29:34-05,5972,279326
2015-10-01 00:29:35-05,1556,202688
2015-10-01 00:29:37-05,9639,211656
2015-10-01 00:29:37-05,252,329214
2015-10-01 00:29:52-05,3039,133640
2015-10-01 00:29:57-05,739,88858
2015-10-01 00:30:12-05,8467,86998
2015-10-01 00:30:16-05,94,116642
2015-10-01 00:30:22-05,6910,179118
2015-10-01 00:30:33-05,5636,220418
2015-10-01 00:31:09-05,7429,132644
2015-10-01 00:31:13-05,4029,299884
2015-10-01 00:31:15-05,5785,164280
2015-10-01 00:31:18-05,7117,211820
2015-10-01 00:31:22-05,1507,390354
2015-10-01 00:31:26-05,3544,76970
2015-10-01 00:31:27-05,9956,95860
2015-10-01 00:31:27-05,6910,179118
2015-10-01 00:31:38-05,483,360456
2015-10-01 00:31:53-05,4447,88648
2015-10-01 00:32:02-05,2034,72376
2015-10-01 00:32:08-05,1714,147048
2015-10-01 00:32:38-05,1589,193922
2015-10-01 00:32:41-05,222,612262
2015-10-01 00:32:42-05,1791,130806
2015-10-01 00:33:24-05,1801,110108
2015-10-01 00:33:25-05,5810,97506
2015-10-01 00:33:29-05,4998,162992
2015-10-01 00:33:36-05,871,106464
2015-10-01 00:33:58-05,4767,123020
2015-10-01 00:33:58-05,1086,83334
2015-10-01 00:34:03-05,9729,122186
2015-10-01 00:34:03-05,739,88858
2015-10-01 00:34:04-05,6910,179118
2015-10-01 00:34:35-05,1283,167026
2015-10-01 00:34:42-05,370,87880
2015-10-01 00:34:46-05,1589,193922
2015-10-01 00:35:17-05,7117,211820
2015-10-01 00:35:25-05,7460,279256
2015-10-01 00:35:44-05,1792,135290
2015-10-01 00:35:52-05,7030,141672
2015-10-01 00:35:55-05,7017,375932
2015-10-01 00:35:58-05,6910,179118
2015-10-01 00:36:03-05,5403,112904
2015-10-01 00:36:21-05,9639,211656
2015-10-01 00:36:24-05,1714,147048
2015-10-01 00:36:44-05,9295,157556
2015-10-01 00:36:53-05,5810,97506
2015-10-01 00:37:05-05,871,106464
2015-10-01 00:37:26-05,4031,104654
2015-10-01 00:37:34-05,6910,179118
2015-10-01 00:37:38-05,1589,193922
2015-10-01 00:37:50-05,114,128294
2015-10-01 00:38:01-05,5403,112904
2015-10-01 00:38:19-05,871,106464
2015-10-01 00:38:22-05,1589,193922
2015-10-01 00:38:36-05,6910,179118
2015-10-01 00:38:47-05,2034,72376
2015-10-01 00:38:58-05,9729,122186
2015-10-01 00:39:15-05,3893,89534
2015-10-01 00:39:31-05,1185,139336
2015-10-01 00:39:34-05,5972,279326
2015-10-01 00:39:56-05,94,116642
2015-10-01 00:40:03-05,2034,72376
2015-10-01 00:40:32-05,2034,72376
2015-10-01 00:41:17-05,2034,72376
2015-10-01 00:41:22-05,7117,211820
2015-10-01 00:41:28-05,4029,299884
2015-10-01 00:41:38-05,5439,181040
2015-10-01 00:41:43-05,1086,83334
2015-10-01 00:41:47-05,4447,88648
2015-10-01 00:41:51-05,739,88858
2015-10-01 00:42:00-05,9295,157556
2015-10-01 00:42:02-05,5403,112904
2015-10-01 00:42:34-05,35,93470
2015-10-01 00:42:41-05,222,612262
2015-10-01 00:42:51-05,94,116642
2015-10-01 00:42:53-05,7682,228308
2015-10-01 00:42:56-05,222,612262
2015-10-01 00:42:59-05,1589,193922
2015-10-01 00:42:59-05,9134,230534
2015-10-01 00:43:26-05,4998,162992
2015-10-01 00:43:26-05,5131,104132
2015-10-01 00:43:29-05,5972,279326
2015-10-01 00:43:50-05,1714,147048
2015-10-01 00:44:02-05,2034,72376
2015-10-01 00:44:06-05,7287,221038
2015-10-01 00:44:37-05,8156,251818
2015-10-01 00:44:46-05,9956,95860
2015-10-01 00:44:50-05,1714,147048
2015-10-01 00:45:06-05,7287,221038
2015-10-01 00:45:19-05,5810,97506
2015-10-01 00:45:26-05,94,116642
2015-10-01 00:45:30-05,1714,147048
2015-10-01 00:45:33-05,2034,72376
2015-10-01 00:45:41-05,2638,171832
2015-10-01 00:46:05-05,187,263272
2015-10-01 00:46:35-05,5275,156990
2015-10-01 00:46:39-05,6910,179118
2015-10-01 00:46:43-05,1697,266172
2015-10-01 00:47:00-05,9729,122186
2015-10-01 00:47:06-05,9639,211656
2015-10-01 00:47:07-05,3723,242078
2015-10-01 00:47:14-05,1589,193922
2015-10-01 00:47:17-05,2034,72376
2015-10-01 00:47:28-05,5131,104132
2015-10-01 00:47:29-05,9295,157556
2015-10-01 00:47:50-05,739,88858
2015-10-01 00:48:06-05,1507,390354
2015-10-01 00:48:14-05,484,99298
2015-10-01 00:48:37-05,8156,251818
2015-10-01 00:48:43-05,1086,83334
2015-10-01 00:49:05-05,4732,183836
2015-10-01 00:49:49-05,4447,88648
2015-10-01 00:50:07-05,5403,112904
2015-10-01 00:50:32-05,5193,149806
2015-10-01 00:51:02-05,9729,122186
2015-10-01 00:51:26-05,94,116642
2015-10-01 00:51:33-05,1283,167026
2015-10-01 00:51:44-05,7674,265070
2015-10-01 00:51:54-05,9121,193610
2015-10-01 00:51:56-05,222,612262
2015-10-01 00:51:58-05,1589,193922
2015-10-01 00:51:58-05,4352,218216
2015-10-01 00:52:03-05,2034,72376
2015-10-01 00:52:22-05,9639,211656
2015-10-01 00:52:24-05,7739,149758
2015-10-01 00:52:32-05,4296,168928
2015-10-01 00:52:42-05,370,87880
2015-10-01 00:52:48-05,1791,130806
2015-10-01 00:52:50-05,1507,390354
2015-10-01 00:52:55-05,222,612262
2015-10-01 00:53:01-05,9729,122186
2015-10-01 00:53:01-05,739,88858
2015-10-01 00:53:11-05,7017,375932
2015-10-01 00:53:12-05,4029,299884
2015-10-01 00:53:14-05,9295,157556
2015-10-01 00:53:43-05,4029,299884
2015-10-01 00:53:54-05,7030,141672
2015-10-01 00:53:59-05,1718,161076
2015-10-01 00:54:08-05,4514,382166
2015-10-01 00:54:18-05,3367,311094
2015-10-01 00:54:20-05,3635,151330
2015-10-01 00:54:27-05,6910,179118
2015-10-01 00:54:50-05,1791,130806
2015-10-01 00:54:56-05,7017,375932
2015-10-01 00:55:05-05,7287,221038
2015-10-01 00:55:26-05,6910,179118
2015-10-01 00:55:39-05,1714,147048
2015-10-01 00:55:39-05,5814,802850
2015-10-01 00:55:40-05,94,116642
2015-10-01 00:55:41-05,7017,375932
2015-10-01 00:55:45-05,7674,265070
2015-10-01 00:55:57-05,1718,161076
2015-10-01 00:56:00-05,9295,157556
2015-10-01 00:56:22-05,5131,104132
2015-10-01 00:56:59-05,9295,157556
2015-10-01 00:57:07-05,5814,802850
2015-10-01 00:57:32-05,2034,72376
2015-10-01 00:57:38-05,252,329214
2015-10-01 00:57:42-05,8155,243608
2015-10-01 00:57:43-05,94,116642
2015-10-01 00:57:45-05,3893,89534
2015-10-01 00:57:49-05,6412,133016
2015-10-01 00:57:59-05,9295,157556
2015-10-01 00:58:07-05,3723,242078
2015-10-01 00:58:13-05,1086,83334
2015-10-01 00:58:23-05,4031,104654
2015-10-01 00:58:25-05,1185,139336
2015-10-01 00:58:34-05,5636,220418
2015-10-01 00:59:22-05,7117,211820
2015-10-01 00:59:53-05,484,99298
2015-10-01 00:59:57-05,9278,115618
2015-10-01 00:59:58-05,5403,112904
2015-10-01 01:00:11-05,7429,132644
2015-10-01 01:00:20-05,8467,86998
2015-10-01 01:00:33-05,77,58832
2015-10-01 01:00:52-05,484,99298
2015-10-01 01:00:54-05,1718,161076
2015-10-01 01:01:04-05,6412,133016
2015-10-01 01:01:47-05,2034,72376
2015-10-01 01:01:47-05,1697,266172
2015-10-01 01:02:48-05,2034,72376
2015-10-01 01:02:48-05,1791,130806
2015-10-01 01:02:49-05,4447,88648
2015-10-01 01:02:58-05,484,99298
2015-10-01 01:03:21-05,7287,221038
2015-10-01 01:03:27-05,4998,162992
2015-10-01 01:03:30-05,3893,89534
2015-10-01 01:03:44-05,2638,171832
2015-10-01 01:03:45-05,1619,63436
2015-10-01 01:03:57-05,7030,141672
2015-10-01 01:03:59-05,4352,218216
2015-10-01 01:04:00-05,3893,89534
2015-10-01 01:04:04-05,4421,85350
2015-10-01 01:04:15-05,3635,151330
2015-10-01 01:04:35-05,1556,202690
2015-10-01 01:04:44-05,1086,83334
2015-10-01 01:04:52-05,1718,161076
2015-10-01 01:05:09-05,871,106464
2015-10-01 01:05:20-05,1507,390354
2015-10-01 01:05:38-05,1283,167026
2015-10-01 01:05:42-05,739,88858
2015-10-01 01:05:43-05,1086,83334
2015-10-01 01:05:44-05,484,99298
2015-10-01 01:05:45-05,5810,97508
2015-10-01 01:05:51-05,1507,390354
2015-10-01 01:06:01-05,484,99298
2015-10-01 01:06:14-05,5810,97508
2015-10-01 01:06:29-05,1086,83334
2015-10-01 01:06:35-05,7287,221038
2015-10-01 01:06:53-05,8890,197164
2015-10-01 01:06:57-05,7030,141672
2015-10-01 01:07:00-05,1714,147048
2015-10-01 01:07:26-05,7017,375932
2015-10-01 01:08:01-05,9729,122186
2015-10-01 01:08:09-05,661,194658
2015-10-01 01:08:10-05,4514,382166
2015-10-01 01:08:16-05,3134,162376
2015-10-01 01:08:22-05,6836,92600
2015-10-01 01:08:25-05,7117,211820
2015-10-01 01:08:27-05,2449,171122
2015-10-01 01:08:28-05,1086,83334
2015-10-01 01:08:40-05,7017,375932
2015-10-01 01:08:49-05,5810,97508
2015-10-01 01:09:19-05,484,99300
2015-10-01 01:09:37-05,8156,251818
2015-10-01 01:09:43-05,1086,83334
2015-10-01 01:09:56-05,5403,112904
2015-10-01 01:10:02-05,2034,72376
2015-10-01 01:10:11-05,7794,433362
2015-10-01 01:10:12-05,9849,33632
2015-10-01 01:10:14-05,7674,265070
2015-10-01 01:10:21-05,5131,104132
2015-10-01 01:10:30-05,484,99300
2015-10-01 01:10:43-05,8155,243608
2015-10-01 01:11:01-05,5785,164280
2015-10-01 01:11:13-05,484,99300
2015-10-01 01:11:17-05,739,88858
2015-10-01 01:11:30-05,1283,167026
2015-10-01 01:11:44-05,7674,265070
2015-10-01 01:11:52-05,5810,97508
2015-10-01 01:11:57-05,7030,141672
2015-10-01 01:12:04-05,9956,95860
2015-10-01 01:12:06-05,1507,390354
2015-10-01 01:12:08-05,1042,203292
2015-10-01 01:12:14-05,1086,83334
2015-10-01 01:12:34-05,77,58832
2015-10-01 01:12:35-05,1507,390354
2015-10-01 01:12:56-05,222,612262
2015-10-01 01:13:05-05,4373,235214
2015-10-01 01:13:25-05,94,116644
2015-10-01 01:13:39-05,9956,95860
2015-10-01 01:13:45-05,7674,265070
2015-10-01 01:13:57-05,9278,115618
2015-10-01 01:14:05-05,4732,183836
2015-10-01 01:14:11-05,5484,262692
2015-10-01 01:14:51-05,1507,390354
2015-10-01 01:14:55-05,8890,197164
2015-10-01 01:14:59-05,7674,265070
2015-10-01 01:15:01-05,5785,164280
2015-10-01 01:15:12-05,9849,33632
2015-10-01 01:15:23-05,5814,802850
2015-10-01 01:15:29-05,5275,156990
2015-10-01 01:15:30-05,5972,279326
2015-10-01 01:15:37-05,252,329214
2015-10-01 01:15:42-05,6910,179118
2015-10-01 01:15:42-05,2638,171832
2015-10-01 01:15:42-05,4029,299884
2015-10-01 01:15:52-05,5810,97508
2015-10-01 01:16:11-05,7794,433362
2015-10-01 01:16:14-05,94,116644
2015-10-01 01:16:20-05,7287,221038
2015-10-01 01:16:25-05,5814,802850
2015-10-01 01:16:30-05,3893,89534
2015-10-01 01:16:38-05,9052,297558
2015-10-01 01:16:39-05,2072,267822
2015-10-01 01:16:50-05,4447,88648
2015-10-01 01:16:50-05,2461,120210
2015-10-01 01:17:04-05,6412,133016
2015-10-01 01:17:14-05,1086,83334
2015-10-01 01:17:15-05,94,116644
2015-10-01 01:17:28-05,1086,83334
2015-10-01 01:17:36-05,1507,390354
2015-10-01 01:17:46-05,114,128294
2015-10-01 01:18:09-05,6910,179118
2015-10-01 01:18:22-05,484,99300
2015-10-01 01:18:39-05,744,134314
2015-10-01 01:18:44-05,9982,105946
2015-10-01 01:18:58-05,4029,299884
2015-10-01 01:18:59-05,4767,123020
2015-10-01 01:19:00-05,7674,265070
2015-10-01 01:19:00-05,1589,193924
2015-10-01 01:19:14-05,9295,157556
2015-10-01 01:19:18-05,2034,72376
2015-10-01 01:19:26-05,222,612262
2015-10-01 01:19:28-05,1086,83334
2015-10-01 01:19:32-05,2034,72376
2015-10-01 01:19:56-05,1791,130806
2015-10-01 01:19:59-05,4767,123020
2015-10-01 01:20:10-05,7017,375932
2015-10-01 01:20:11-05,484,99300
2015-10-01 01:20:15-05,5131,104132
2015-10-01 01:20:19-05,94,116644
2015-10-01 01:20:29-05,9295,157556
2015-10-01 01:21:06-05,9134,230534
2015-10-01 01:21:15-05,5131,104132
2015-10-01 01:21:26-05,1801,110108
2015-10-01 01:22:16-05,9956,95860
2015-10-01 01:22:21-05,739,88858
2015-10-01 01:22:38-05,5439,181040
2015-10-01 01:22:53-05,1791,130806
2015-10-01 01:22:57-05,4029,299884
2015-10-01 01:23:05-05,6910,179118
2015-10-01 01:23:33-05,6412,133016
2015-10-01 01:23:37-05,9639,211658
2015-10-01 01:23:50-05,7287,221038
2015-10-01 01:24:02-05,2335,202076
2015-10-01 01:24:11-05,8467,86998
2015-10-01 01:24:19-05,6910,179118
2015-10-01 01:24:33-05,2034,72376
2015-10-01 01:24:35-05,1556,202690
2015-10-01 01:24:38-05,1283,167026
2015-10-01 01:25:01-05,2335,202076
2015-10-01 01:25:06-05,3039,133640
2015-10-01 01:25:14-05,4352,218216
2015-10-01 01:25:22-05,6910,179118
2015-10-01 01:25:26-05,7117,211822
2015-10-01 01:25:30-05,1790,296366
2015-10-01 01:25:38-05,5439,181040
2015-10-01 01:25:56-05,5403,112904
2015-10-01 01:26:00-05,2335,202076
2015-10-01 01:26:02-05,5814,802850
2015-10-01 01:26:21-05,6910,179118
2015-10-01 01:26:22-05,1800,125008
2015-10-01 01:26:27-05,2449,171122
2015-10-01 01:26:29-05,7674,265070
2015-10-01 01:26:46-05,9956,95860
2015-10-01 01:27:02-05,661,194658
2015-10-01 01:27:06-05,3723,242078
2015-10-01 01:27:08-05,9134,230534
2015-10-01 01:27:26-05,1801,110108
2015-10-01 01:27:38-05,5439,181040
2015-10-01 01:27:38-05,8156,251818
2015-10-01 01:27:44-05,1792,135292
2015-10-01 01:27:54-05,8890,197164
2015-10-01 01:27:54-05,7030,141674
2015-10-01 01:27:56-05,5403,112904
2015-10-01 01:28:02-05,2034,72376
2015-10-01 01:28:31-05,739,88858
2015-10-01 01:28:46-05,114,128296
2015-10-01 01:28:47-05,2034,72376
2015-10-01 01:28:52-05,1791,130806
2015-10-01 01:29:06-05,6910,179118
2015-10-01 01:29:14-05,1086,83334
2015-10-01 01:29:21-05,1800,125008
2015-10-01 01:29:43-05,5193,149806
2015-10-01 01:29:47-05,2034,72376
2015-10-01 01:29:48-05,6412,133016
2015-10-01 01:29:54-05,94,116644
2015-10-01 01:29:56-05,5403,112904
2015-10-01 01:29:59-05,484,99300
2015-10-01 01:30:03-05,4421,85350
2015-10-01 01:30:11-05,7017,375932
2015-10-01 01:30:17-05,9849,33632
2015-10-01 01:30:30-05,871,106464
2015-10-01 01:30:38-05,252,329214
2015-10-01 01:30:39-05,4447,88648
2015-10-01 01:30:40-05,484,99300
2015-10-01 01:30:43-05,5193,149806
2015-10-01 01:30:56-05,6910,179118
2015-10-01 01:31:07-05,3723,242078
2015-10-01 01:31:12-05,94,116644
2015-10-01 01:31:14-05,7674,265070
2015-10-01 01:31:27-05,6836,92600
2015-10-01 01:31:58-05,5403,112904
2015-10-01 01:32:00-05,7429,132644
2015-10-01 01:32:15-05,94,116644
2015-10-01 01:32:17-05,4514,382166
2015-10-01 01:33:08-05,1185,139336
2015-10-01 01:33:34-05,77,58832
2015-10-01 01:33:34-05,7117,211822
2015-10-01 01:33:50-05,9121,193610
2015-10-01 01:34:32-05,2034,72376
2015-10-01 01:34:33-05,6412,133016
2015-10-01 01:34:58-05,1086,83334
2015-10-01 01:35:05-05,7919,289212
2015-10-01 01:35:14-05,1086,83334
2015-10-01 01:35:28-05,1086,83334
2015-10-01 01:35:34-05,3039,133640
2015-10-01 01:35:38-05,8156,251818
2015-10-01 01:35:41-05,8467,86998
2015-10-01 01:35:47-05,484,99300
2015-10-01 01:35:50-05,1718,161076
2015-10-01 01:35:51-05,9639,211658
2015-10-01 01:35:53-05,7741,271144
2015-10-01 01:36:02-05,2034,72376
2015-10-01 01:36:24-05,9474,206438
2015-10-01 01:36:32-05,6910,179118
2015-10-01 01:36:38-05,5439,181040
2015-10-01 01:36:38-05,9052,297560
2015-10-01 01:36:46-05,1619,63436
2015-10-01 01:36:49-05,1718,161076
2015-10-01 01:36:58-05,1086,83334
2015-10-01 01:37:03-05,2034,72376
2015-10-01 01:37:15-05,2018,204500
2015-10-01 01:37:15-05,9295,157556
2015-10-01 01:37:27-05,1790,296366
2015-10-01 01:37:37-05,252,329214
2015-10-01 01:37:48-05,871,106464
2015-10-01 01:38:28-05,1086,83334
2015-10-01 01:38:37-05,252,329214
2015-10-01 01:38:43-05,1283,167026
2015-10-01 01:38:44-05,94,116644
2015-10-01 01:39:04-05,7429,132644
2015-10-01 01:39:06-05,9639,211658
2015-10-01 01:39:07-05,5785,164280
2015-10-01 01:39:17-05,2034,72376
2015-10-01 01:39:30-05,6910,179118
2015-10-01 01:39:38-05,4998,162992
2015-10-01 01:39:45-05,9295,157556
2015-10-01 01:39:52-05,9639,211658
2015-10-01 01:39:56-05,5814,802850
2015-10-01 01:40:04-05,2638,171832
2015-10-01 01:40:11-05,4514,382166
2015-10-01 01:40:39-05,94,116644
2015-10-01 01:41:00-05,3893,89534
2015-10-01 01:41:23-05,4031,104654
2015-10-01 01:41:29-05,1086,83334
2015-10-01 01:42:03-05,7429,132644
2015-10-01 01:42:03-05,2034,72376
2015-10-01 01:42:10-05,4514,382166
2015-10-01 01:42:17-05,6910,179118
2015-10-01 01:42:41-05,5810,97508
2015-10-01 01:42:50-05,1589,193924
2015-10-01 01:43:03-05,739,88858
2015-10-01 01:43:15-05,7674,265070
2015-10-01 01:43:26-05,5810,97508
2015-10-01 01:43:38-05,4998,162992
2015-10-01 01:43:38-05,8156,251818
2015-10-01 01:43:39-05,5193,149806
2015-10-01 01:43:46-05,9956,95860
2015-10-01 01:43:53-05,7030,141674
2015-10-01 01:44:09-05,4514,382166
2015-10-01 01:44:11-05,6910,179118
2015-10-01 01:44:17-05,4352,218216
2015-10-01 01:44:27-05,6910,179118
2015-10-01 01:44:54-05,9729,122186
2015-10-01 01:45:03-05,5785,164280
2015-10-01 01:45:16-05,2980,135244
2015-10-01 01:45:23-05,5129,153656
2015-10-01 01:45:39-05,739,88858
2015-10-01 01:45:47-05,2034,72376
2015-10-01 01:45:52-05,6910,179118
2015-10-01 01:46:20-05,1714,147048
2015-10-01 01:46:22-05,6910,179118
2015-10-01 01:46:26-05,2094,166802
2015-10-01 01:46:38-05,4998,162992
2015-10-01 01:46:46-05,9956,95860
2015-10-01 01:46:52-05,871,106464
2015-10-01 01:46:53-05,94,116644
2015-10-01 01:46:56-05,6910,179118
2015-10-01 01:46:57-05,8890,197166
2015-10-01 01:47:09-05,3635,151330
2015-10-01 01:47:28-05,6910,179118
2015-10-01 01:47:32-05,4296,168928
2015-10-01 01:47:43-05,484,99300
2015-10-01 01:47:44-05,1086,83334
2015-10-01 01:47:56-05,484,99300
2015-10-01 01:48:06-05,5892,264390
2015-10-01 01:48:10-05,6910,179118
2015-10-01 01:48:32-05,4296,168928
2015-10-01 01:48:46-05,871,106464
2015-10-01 01:49:04-05,6412,133016
2015-10-01 01:49:09-05,3134,162376
2015-10-01 01:49:17-05,4447,88648
2015-10-01 01:49:22-05,94,116644
2015-10-01 01:49:31-05,1790,296366
2015-10-01 01:49:34-05,1556,202690
2015-10-01 01:49:57-05,5403,112906
2015-10-01 01:50:02-05,2034,72376
2015-10-01 01:50:21-05,739,88858
2015-10-01 01:50:44-05,7900,178788
2015-10-01 01:50:51-05,7287,221038
2015-10-01 01:51:26-05,7017,375932
2015-10-01 01:51:43-05,1086,83334
2015-10-01 01:51:47-05,5810,97508
2015-10-01 01:52:01-05,8890,197166
2015-10-01 01:52:06-05,9639,211658
2015-10-01 01:52:13-05,4029,299884
2015-10-01 01:52:26-05,871,106464
2015-10-01 01:52:29-05,5129,153656
2015-10-01 01:52:44-05,9631,108350
2015-10-01 01:52:45-05,3893,89534
2015-10-01 01:52:46-05,1589,193924
2015-10-01 01:52:59-05,9121,193610
2015-10-01 01:53:06-05,5810,97508
2015-10-01 01:53:07-05,3134,162376
2015-10-01 01:53:15-05,1589,193924
2015-10-01 01:53:16-05,4352,218216
2015-10-01 01:53:19-05,6412,133016
