localminute,dataid,meter_value
2015-10-01 10:33:42-05,1718,161082
2015-10-01 10:33:42-05,8155,243618
2015-10-01 10:33:45-05,4352,218220
2015-10-01 10:33:47-05,6910,179128
2015-10-01 10:33:51-05,7682,228336
2015-10-01 10:33:57-05,1791,130820
2015-10-01 10:33:58-05,5785,164284
2015-10-01 10:34:06-05,3723,242102
2015-10-01 10:34:11-05,2335,202098
2015-10-01 10:34:15-05,6836,92610
2015-10-01 10:34:33-05,77,58846
2015-10-01 10:35:00-05,7674,265082
2015-10-01 10:35:02-05,2034,72394
2015-10-01 10:35:15-05,2980,135246
2015-10-01 10:35:18-05,1185,139348
2015-10-01 10:36:03-05,484,99316
2015-10-01 10:36:07-05,9956,95870
2015-10-01 10:36:11-05,7794,433384
2015-10-01 10:36:21-05,7287,221050
2015-10-01 10:36:21-05,1507,390370
2015-10-01 10:36:35-05,5810,97516
2015-10-01 10:36:36-05,7287,221050
2015-10-01 10:36:45-05,7674,265082
2015-10-01 10:36:50-05,9729,122196
2015-10-01 10:37:02-05,5785,164284
2015-10-01 10:37:04-05,1714,147060
2015-10-01 10:37:13-05,4029,299900
2015-10-01 10:37:29-05,1801,110112
2015-10-01 10:37:37-05,8156,251826
2015-10-01 10:37:45-05,1718,161082
2015-10-01 10:37:46-05,4998,162996
2015-10-01 10:38:02-05,2034,72394
2015-10-01 10:38:10-05,222,612292
2015-10-01 10:38:47-05,2034,72394
2015-10-01 10:39:10-05,484,99316
2015-10-01 10:39:19-05,1185,139348
2015-10-01 10:39:23-05,7117,211826
2015-10-01 10:39:43-05,5403,112916
2015-10-01 10:39:55-05,7429,132644
2015-10-01 10:40:14-05,9295,157582
2015-10-01 10:40:16-05,871,106464
2015-10-01 10:40:44-05,2461,120214
2015-10-01 10:40:44-05,5403,112916
2015-10-01 10:40:51-05,484,99316
2015-10-01 10:40:58-05,1714,147060
2015-10-01 10:41:00-05,5193,149824
2015-10-01 10:41:02-05,2034,72394
2015-10-01 10:41:03-05,2638,171844
2015-10-01 10:41:07-05,94,116646
2015-10-01 10:41:07-05,5810,97516
2015-10-01 10:41:16-05,1185,139348
2015-10-01 10:41:27-05,7117,211826
2015-10-01 10:41:34-05,114,128308
2015-10-01 10:41:43-05,1714,147060
2015-10-01 10:41:45-05,5403,112918
2015-10-01 10:41:57-05,6910,179128
2015-10-01 10:41:57-05,94,116646
2015-10-01 10:41:59-05,6863,365506
2015-10-01 10:42:03-05,739,88870
2015-10-01 10:42:07-05,5131,104136
2015-10-01 10:42:38-05,5810,97516
2015-10-01 10:42:42-05,6910,179128
2015-10-01 10:43:09-05,4447,88654
2015-10-01 10:43:23-05,1589,193942
2015-10-01 10:43:32-05,77,58846
2015-10-01 10:43:38-05,8156,251826
2015-10-01 10:43:50-05,1507,390370
2015-10-01 10:43:50-05,7287,221050
2015-10-01 10:43:51-05,1791,130820
2015-10-01 10:44:15-05,3527,235120
2015-10-01 10:44:43-05,1086,83338
2015-10-01 10:44:58-05,1714,147060
2015-10-01 10:44:59-05,9295,157582
2015-10-01 10:45:02-05,2034,72394
2015-10-01 10:45:43-05,9295,157582
2015-10-01 10:45:52-05,484,99316
2015-10-01 10:45:55-05,1791,130820
2015-10-01 10:46:02-05,2034,72394
2015-10-01 10:46:05-05,8086,228206
2015-10-01 10:46:43-05,1718,161082
2015-10-01 10:46:57-05,7460,279322
2015-10-01 10:47:17-05,9134,230548
