,localminute,dataid,meter_value
341,2015-10-01 22:13:36-05,94,116668
342,2015-10-01 22:17:44-05,94,116668
343,2015-10-01 22:40:51-05,94,116668
344,2015-10-01 22:57:16-05,94,116668
345,2015-10-01 22:59:10-05,94,116668
346,2015-10-01 23:07:39-05,94,116668
347,2015-10-01 23:08:43-05,94,116668
348,2015-10-01 23:10:39-05,94,116668
349,2015-10-01 23:16:36-05,94,116668
350,2015-10-01 23:27:34-05,94,116668
351,2015-10-01 23:28:50-05,94,116668
352,2015-10-01 23:29:07-05,94,116668
353,2015-10-01 23:34:26-05,94,116668
354,2015-10-01 23:39:14-05,94,116668
355,2015-10-01 23:41:54-05,94,116668
356,2015-10-01 23:49:04-05,94,116668
357,2015-10-01 23:52:19-05,94,116668
358,2015-10-01 23:55:53-05,94,116668
359,2015-10-01 23:57:52-05,94,116668
360,2015-10-02 00:01:09-05,94,116668
361,2015-10-02 00:02:40-05,94,116668
362,2015-10-02 00:10:39-05,94,116668
363,2015-10-02 00:11:43-05,94,116668
364,2015-10-02 00:13:24-05,94,116668
365,2015-10-02 00:14:24-05,94,116668
366,2015-10-02 00:17:39-05,94,116668
367,2015-10-02 00:20:39-05,94,116668
368,2015-10-02 00:37:26-05,94,116668
369,2015-10-02 00:40:27-05,94,116668
370,2015-10-02 00:42:14-05,94,116668
371,2015-10-02 00:43:33-05,94,116668
372,2015-10-02 00:44:14-05,94,116668
373,2015-10-02 00:47:49-05,94,116668
374,2015-10-02 00:48:02-05,94,116668
375,2015-10-02 00:56:19-05,94,116668
376,2015-10-02 01:09:02-05,94,116668
377,2015-10-02 01:14:43-05,94,116668
378,2015-10-02 01:16:09-05,94,116668
379,2015-10-02 01:18:37-05,94,116668
380,2015-10-02 01:19:08-05,94,116668
381,2015-10-02 01:27:16-05,94,116668
382,2015-10-02 01:32:18-05,94,116668
383,2015-10-02 01:32:34-05,94,116668
384,2015-10-02 01:45:45-05,94,116668
385,2015-10-02 01:51:19-05,94,116668
386,2015-10-02 01:54:36-05,94,116668
387,2015-10-02 02:01:08-05,94,116668
388,2015-10-02 02:16:39-05,94,116668
389,2015-10-02 02:18:40-05,94,116668
390,2015-10-02 02:19:53-05,94,116668
391,2015-10-02 02:34:02-05,94,116668
392,2015-10-02 02:52:51-05,94,116670
393,2015-10-02 03:01:19-05,94,116670
394,2015-10-02 03:04:53-05,94,116670
395,2015-10-02 03:08:16-05,94,116670
396,2015-10-02 03:10:09-05,94,116670
397,2015-10-02 03:11:09-05,94,116670
398,2015-10-02 03:12:40-05,94,116670
399,2015-10-02 03:32:12-05,94,116670
400,2015-10-02 03:46:57-05,94,116670
401,2015-10-02 03:49:54-05,94,116670
402,2015-10-02 03:52:01-05,94,116670
403,2015-10-02 03:53:41-05,94,116670
404,2015-10-02 03:55:36-05,94,116670
405,2015-10-02 04:02:35-05,94,116670
406,2015-10-02 04:04:19-05,94,116670
407,2015-10-02 04:07:07-05,94,116670
408,2015-10-02 04:14:40-05,94,116670
409,2015-10-02 04:15:40-05,94,116670
410,2015-10-02 04:20:15-05,94,116670
411,2015-10-02 04:26:09-05,94,116670
412,2015-10-01 00:17:43-05,114,128294
413,2015-10-01 00:37:50-05,114,128294
414,2015-10-01 01:17:46-05,114,128294
415,2015-10-01 01:28:46-05,114,128296
416,2015-10-01 02:30:40-05,114,128296
417,2015-10-01 03:08:31-05,114,128296
418,2015-10-01 03:27:28-05,114,128296
419,2015-10-01 03:48:40-05,114,128296
420,2015-10-01 04:21:46-05,114,128296
421,2015-10-01 04:42:54-05,114,128296
422,2015-10-01 04:45:50-05,114,128296
423,2015-10-01 05:29:46-05,114,128296
424,2015-10-01 05:47:42-05,114,128296
425,2015-10-01 06:00:46-05,114,128296
426,2015-10-01 06:38:39-05,114,128298
427,2015-10-01 06:49:39-05,114,128298
428,2015-10-01 09:09:53-05,114,128308
429,2015-10-01 09:38:47-05,114,128308
430,2015-10-01 09:49:44-05,114,128308
431,2015-10-01 10:10:45-05,114,128308
432,2015-10-01 10:41:34-05,114,128308
433,2015-10-01 11:29:32-05,114,128308
434,2015-10-01 11:35:29-05,114,128308
435,2015-10-01 11:37:33-05,114,128308
436,2015-10-01 11:53:30-05,114,128310
437,2015-10-01 13:02:50-05,114,128310
438,2015-10-01 14:37:44-05,114,128310
439,2015-10-01 16:18:37-05,114,128310
440,2015-10-01 16:25:41-05,114,128310
441,2015-10-01 16:55:45-05,114,128312
442,2015-10-01 17:09:47-05,114,128312
443,2015-10-01 17:36:56-05,114,128312
444,2015-10-01 17:39:52-05,114,128312
445,2015-10-01 17:47:46-05,114,128312
446,2015-10-01 17:51:44-05,114,128312
447,2015-10-01 18:05:45-05,114,128312
448,2015-10-01 18:26:42-05,114,128312
449,2015-10-01 19:07:35-05,114,128312
450,2015-10-01 19:19:39-05,114,128312
451,2015-10-01 20:04:33-05,114,128314
452,2015-10-01 21:31:51-05,114,128320
453,2015-10-01 22:59:44-05,114,128320
454,2015-10-01 23:15:31-05,114,128320
455,2015-10-01 23:31:39-05,114,128320
456,2015-10-01 23:53:34-05,114,128320
457,2015-10-02 01:35:47-05,114,128322
458,2015-10-02 02:19:40-05,114,128322
459,2015-10-02 02:25:46-05,114,128322
460,2015-10-02 02:29:45-05,114,128322
461,2015-10-02 03:13:43-05,114,128322
462,2015-10-02 03:18:39-05,114,128322
463,2015-10-01 00:46:05-05,187,263272
464,2015-10-01 02:01:04-05,187,263272
465,2015-10-01 05:46:05-05,187,263276
466,2015-10-01 07:16:04-05,187,263290
467,2015-10-01 07:48:04-05,187,263290
468,2015-10-01 09:13:04-05,187,263292
469,2015-10-01 10:14:04-05,187,263292
470,2015-10-01 12:19:04-05,187,263296
471,2015-10-01 13:13:04-05,187,263296
472,2015-10-01 13:52:05-05,187,263296
473,2015-10-01 16:55:04-05,187,263300
474,2015-10-01 17:19:04-05,187,263302
475,2015-10-01 18:00:04-05,187,263302
476,2015-10-01 18:02:05-05,187,263302
477,2015-10-01 18:08:04-05,187,263302
478,2015-10-01 19:32:04-05,187,263314
479,2015-10-01 00:14:26-05,222,612262
480,2015-10-01 00:17:41-05,222,612262
481,2015-10-01 00:32:41-05,222,612262
482,2015-10-01 00:42:41-05,222,612262
483,2015-10-01 00:42:56-05,222,612262
484,2015-10-01 00:51:56-05,222,612262
485,2015-10-01 00:52:55-05,222,612262
486,2015-10-01 01:12:56-05,222,612262
487,2015-10-01 01:19:26-05,222,612262
488,2015-10-01 02:13:25-05,222,612262
489,2015-10-01 02:21:56-05,222,612262
490,2015-10-01 04:38:41-05,222,612264
491,2015-10-01 04:49:25-05,222,612264
492,2015-10-01 06:15:40-05,222,612264
493,2015-10-01 07:15:26-05,222,612264
494,2015-10-01 07:24:56-05,222,612264
495,2015-10-01 07:37:26-05,222,612264
496,2015-10-01 08:25:11-05,222,612264
497,2015-10-01 08:43:40-05,222,612264
498,2015-10-01 10:38:10-05,222,612292
499,2015-10-01 12:17:25-05,222,612296
500,2015-10-01 12:20:40-05,222,612296
501,2015-10-01 19:04:55-05,222,612314
502,2015-10-01 19:20:24-05,222,612314
503,2015-10-01 19:59:10-05,222,612314
504,2015-10-01 20:32:25-05,222,612314
505,2015-10-01 22:08:40-05,222,612314
506,2015-10-01 22:42:24-05,222,612316
507,2015-10-01 23:10:40-05,222,612316
508,2015-10-01 23:14:54-05,222,612316
509,2015-10-01 23:59:39-05,222,612416
510,2015-10-02 00:33:40-05,222,612540
511,2015-10-02 01:14:24-05,222,612580
512,2015-10-02 03:25:10-05,222,612684
513,2015-10-02 03:31:40-05,222,612692
514,2015-10-02 03:56:40-05,222,612704
515,2015-10-02 04:17:39-05,222,612724
516,2015-10-02 04:34:24-05,222,612740
517,2015-10-01 00:07:38-05,252,329214
518,2015-10-01 00:19:37-05,252,329214
519,2015-10-01 00:28:38-05,252,329214
520,2015-10-01 00:29:37-05,252,329214
521,2015-10-01 00:57:38-05,252,329214
522,2015-10-01 01:15:37-05,252,329214
523,2015-10-01 01:30:38-05,252,329214
524,2015-10-01 01:37:37-05,252,329214
525,2015-10-01 01:38:37-05,252,329214
526,2015-10-01 01:54:37-05,252,329214
527,2015-10-01 02:40:37-05,252,329216
528,2015-10-01 03:16:37-05,252,329216
529,2015-10-01 03:21:37-05,252,329216
530,2015-10-01 03:33:37-05,252,329216
531,2015-10-01 03:38:37-05,252,329216
532,2015-10-01 03:51:38-05,252,329216
533,2015-10-01 04:14:38-05,252,329216
534,2015-10-01 04:35:38-05,252,329216
535,2015-10-01 05:19:38-05,252,329216
536,2015-10-01 05:29:37-05,252,329216
537,2015-10-01 05:33:37-05,252,329216
538,2015-10-01 05:34:37-05,252,329216
539,2015-10-01 05:46:37-05,252,329216
540,2015-10-01 06:00:37-05,252,329216
541,2015-10-01 06:51:37-05,252,329216
542,2015-10-01 07:29:37-05,252,329218
543,2015-10-01 07:41:38-05,252,329218
544,2015-10-01 08:27:38-05,252,329218
545,2015-10-01 08:32:37-05,252,329218
546,2015-10-01 08:37:38-05,252,329218
547,2015-10-01 08:43:38-05,252,329218
548,2015-10-01 08:49:37-05,252,329218
549,2015-10-01 10:18:38-05,252,329242
550,2015-10-01 10:26:37-05,252,329242
551,2015-10-01 10:33:37-05,252,329242
552,2015-10-01 10:47:37-05,252,329242
553,2015-10-01 10:48:37-05,252,329242
554,2015-10-01 11:02:37-05,252,329242
555,2015-10-01 11:19:37-05,252,329242
556,2015-10-01 11:39:37-05,252,329242
557,2015-10-01 12:06:37-05,252,329242
558,2015-10-01 12:40:37-05,252,329242
559,2015-10-01 12:53:38-05,252,329242
560,2015-10-01 13:00:37-05,252,329242
561,2015-10-01 13:19:37-05,252,329242
562,2015-10-01 13:30:38-05,252,329244
563,2015-10-01 13:46:38-05,252,329244
564,2015-10-01 13:48:37-05,252,329244
565,2015-10-01 14:07:37-05,252,329244
566,2015-10-01 15:13:37-05,252,329244
567,2015-10-01 15:28:37-05,252,329244
568,2015-10-01 15:30:37-05,252,329244
569,2015-10-01 15:49:38-05,252,329244
570,2015-10-01 16:09:37-05,252,329244
571,2015-10-01 16:32:38-05,252,329244
572,2015-10-01 16:52:38-05,252,329244
573,2015-10-01 17:03:37-05,252,329244
574,2015-10-01 17:11:37-05,252,329244
575,2015-10-01 17:56:37-05,252,329248
576,2015-10-01 18:04:38-05,252,329248
577,2015-10-01 18:12:37-05,252,329248
578,2015-10-01 18:15:38-05,252,329248
579,2015-10-01 18:21:37-05,252,329248
580,2015-10-01 18:23:37-05,252,329248
581,2015-10-01 18:30:37-05,252,329248
582,2015-10-01 18:53:37-05,252,329248
583,2015-10-01 19:08:37-05,252,329248
584,2015-10-01 20:04:37-05,252,329250
585,2015-10-01 20:26:38-05,252,329250
586,2015-10-01 20:38:37-05,252,329250
587,2015-10-01 20:45:37-05,252,329250
588,2015-10-01 21:09:37-05,252,329250
589,2015-10-01 21:13:37-05,252,329250
590,2015-10-01 21:28:37-05,252,329250
591,2015-10-01 21:41:38-05,252,329250
592,2015-10-01 21:44:37-05,252,329250
593,2015-10-01 21:53:37-05,252,329250
594,2015-10-01 21:58:37-05,252,329250
595,2015-10-01 22:40:38-05,252,329250
596,2015-10-01 22:43:37-05,252,329250
597,2015-10-01 22:47:37-05,252,329250
598,2015-10-01 22:55:37-05,252,329250
599,2015-10-01 22:56:38-05,252,329250
600,2015-10-01 23:00:37-05,252,329250
601,2015-10-01 23:31:37-05,252,329250
602,2015-10-02 00:06:37-05,252,329250
603,2015-10-02 00:21:37-05,252,329250
604,2015-10-02 00:31:37-05,252,329252
605,2015-10-02 00:35:38-05,252,329252
606,2015-10-02 00:39:37-05,252,329252
607,2015-10-02 00:40:38-05,252,329252
608,2015-10-02 00:58:37-05,252,329252
609,2015-10-02 01:01:37-05,252,329252
610,2015-10-02 01:11:37-05,252,329252
611,2015-10-02 01:14:38-05,252,329252
612,2015-10-02 01:19:38-05,252,329252
613,2015-10-02 01:23:37-05,252,329252
614,2015-10-02 01:25:38-05,252,329252
615,2015-10-02 01:30:38-05,252,329252
616,2015-10-02 01:47:38-05,252,329252
617,2015-10-02 02:08:37-05,252,329252
618,2015-10-02 02:13:37-05,252,329252
619,2015-10-02 02:16:37-05,252,329252
620,2015-10-02 02:26:37-05,252,329252
621,2015-10-02 02:32:37-05,252,329252
622,2015-10-02 02:47:58-05,252,329252
623,2015-10-02 03:00:38-05,252,329252
624,2015-10-02 03:34:38-05,252,329252
625,2015-10-02 04:00:37-05,252,329252
626,2015-10-02 04:03:37-05,252,329252
627,2015-10-02 04:08:37-05,252,329252
628,2015-10-02 04:19:37-05,252,329252
629,2015-10-02 04:40:37-05,252,329252
630,2015-10-01 00:12:44-05,370,87880
631,2015-10-01 00:34:42-05,370,87880
